user_id,poi_id,user_agreeableness,user_budget_level,user_conscientiousness,user_extraversion,user_neuroticism,user_openness,user_preferred_activity_type,user_travel_intensity_score,poi_activity_intensity_score,poi_category_beach,poi_category_cultural_center,poi_category_cultural_district,poi_category_heritage_village,poi_category_historic_fort,poi_category_historic_site,poi_category_historic_village,poi_category_landmark,poi_category_museum,poi_category_natural_reserve,poi_category_natural_wonder,poi_category_nature_park,poi_category_shopping_mall,poi_category_unesco_world_heritage_site,poi_category_waterfront,poi_indoor_flag,poi_latitude,poi_longitude,poi_normalized_rating,poi_popularity_score,liked
USER_000001,POI_016,0.712407033702685,0.2965260683657036,0.59620791557305,0.0733220447869734,0.380233354785506,0.6156354589595345,nature_park,0.4102304996411343,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,24.6478,46.7106,0.75,9.61587214452889,0
USER_000001,POI_020,0.712407033702685,0.2965260683657036,0.59620791557305,0.0733220447869734,0.380233354785506,0.6156354589595345,nature_park,0.4102304996411343,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,18.2127,42.2458,0.875,8.071218539969863,0
USER_000001,POI_028,0.712407033702685,0.2965260683657036,0.59620791557305,0.0733220447869734,0.380233354785506,0.6156354589595345,nature_park,0.4102304996411343,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.2653,50.2048,0.0,8.31898612539206,0
USER_000001,POI_027,0.712407033702685,0.2965260683657036,0.59620791557305,0.0733220447869734,0.380233354785506,0.6156354589595345,nature_park,0.4102304996411343,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8024,39.0745,0.3750000000000009,8.732465848349879,0
USER_000001,POI_009,0.712407033702685,0.2965260683657036,0.59620791557305,0.0733220447869734,0.380233354785506,0.6156354589595345,nature_park,0.4102304996411343,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,26.2789,50.2084,0.3750000000000009,9.137877200242468,0
USER_000001,POI_025,0.712407033702685,0.2965260683657036,0.59620791557305,0.0733220447869734,0.380233354785506,0.6156354589595345,nature_park,0.4102304996411343,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7395,39.0967,0.25,9.071193240566023,0
USER_000001,POI_022,0.712407033702685,0.2965260683657036,0.59620791557305,0.0733220447869734,0.380233354785506,0.6156354589595345,nature_park,0.4102304996411343,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,21.6288,39.1581,0.5,10.463131911491969,0
USER_000001,POI_013,0.712407033702685,0.2965260683657036,0.59620791557305,0.0733220447869734,0.380233354785506,0.6156354589595345,nature_park,0.4102304996411343,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0174,49.6572,0.1250000000000009,8.412054873292933,0
USER_000001,POI_033,0.712407033702685,0.2965260683657036,0.59620791557305,0.0733220447869734,0.380233354785506,0.6156354589595345,nature_park,0.4102304996411343,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6864,46.7169,0.3750000000000009,9.61587214452889,0
USER_000001,POI_010,0.712407033702685,0.2965260683657036,0.59620791557305,0.0733220447869734,0.380233354785506,0.6156354589595345,nature_park,0.4102304996411343,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,25.3319,45.2547,0.625,7.123672785204607,0
USER_000001,POI_001,0.712407033702685,0.2965260683657036,0.59620791557305,0.0733220447869734,0.380233354785506,0.6156354589595345,nature_park,0.4102304996411343,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26.6089,37.9237,0.875,8.086717920303906,0
USER_000001,POI_005,0.712407033702685,0.2965260683657036,0.59620791557305,0.0733220447869734,0.380233354785506,0.6156354589595345,nature_park,0.4102304996411343,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,16.7029,41.9932,1.0,7.523481312573497,0
USER_000001,POI_017,0.712407033702685,0.2965260683657036,0.59620791557305,0.0733220447869734,0.380233354785506,0.6156354589595345,nature_park,0.4102304996411343,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,24.5338,54.3989,0.875,10.714439990727769,1
USER_000001,POI_018,0.712407033702685,0.2965260683657036,0.59620791557305,0.0733220447869734,0.380233354785506,0.6156354589595345,nature_park,0.4102304996411343,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26.7856,37.9538,1.0,9.04793908261736,0
USER_000001,POI_006,0.712407033702685,0.2965260683657036,0.59620791557305,0.0733220447869734,0.380233354785506,0.6156354589595345,nature_park,0.4102304996411343,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22.9061,41.142,0.75,7.650168700845001,0
