user_id,openness,extraversion,agreeableness,conscientiousness,neuroticism,budget_level,preferred_activity_type,travel_intensity_score
USER_000001,0.6156354589595345,0.07332204478697349,0.712407033702685,0.59620791557305,0.380233354785506,0.2965260683657036,nature_park,0.4102304996411343
USER_000002,0.499996616136798,0.6351100679699477,0.5088255088547301,0.5509125202247601,0.4673889560060572,0.14521882135472508,nature_park,0.4287719394270525
USER_000003,0.618607530492636,0.5536111049730273,0.8151678887029475,0.5151583003119233,0.5101963296062745,0.13611585713055113,waterfront,0.541096387723206
USER_000004,0.3141104627643281,0.5617944083565326,0.7850857935529882,0.3692600870933643,0.7160345181075405,0.24697045684049654,beach,0.4041573530151463
USER_000005,0.9025159779864478,0.6745630565501239,0.8855898771475746,0.4881292294491584,0.780385074946834,0.3041515013105071,waterfront,0.7569533725978008
USER_000006,0.2416794010866928,0.11845545405234478,0.7157147686375146,0.5734820022636933,0.20955884395515118,0.15304749271730617,waterfront,0.2701398094980491
USER_000007,0.7582342954533831,0.40491300159082055,0.9783008424419156,0.20824090107869495,0.9249091571394438,0.08492473155373875,cultural_center,0.45049557387285133
USER_000008,0.36838946817435975,0.7800633301490388,0.9626629372056813,0.7037694479070041,0.711600439419384,0.030830910553079398,waterfront,0.6119422016043009
USER_000009,0.4327478644229819,0.23314944796082224,0.702345510573549,0.39841849261769424,0.57812629801882,0.0911965525101519,natural_reserve,0.3113501438787788
USER_000010,0.720395657759638,0.5001288801817053,0.9540542301297184,0.11602025405389216,0.3338899530393672,0.0965063489555262,heritage_village,0.5609645093994152
USER_000011,0.8473196668199093,0.1753671915777922,0.6785183906227442,0.5085540358389229,0.486808581317664,0.16793405039468554,waterfront,0.5451336318030601
USER_000012,0.19644526837859508,0.6290497578994242,0.44061923480934784,0.5604966541001215,0.49450750898216844,0.11977616049382839,landmark,0.43482672049568216
USER_000013,0.5971642359628521,0.49324803181335564,0.332712282567122,0.3554104750367796,0.14459476113664368,0.25243831134568423,heritage_village,0.5048354026802262
USER_000014,0.53789069824926,0.6417441540763146,0.8228567564800752,0.329184036877257,0.5192943512830077,0.09683975758255568,nature_park,0.4999208144161617
USER_000015,0.24901316313785007,0.5938802935896661,0.7736000547714065,0.23069267971735988,0.635736463959048,0.14893120768856877,shopping_mall,0.40422433371992395
USER_000016,0.635354542418434,0.8028086724147343,0.8890696550845766,0.44622819508335104,0.4960622273711393,0.3519885485885968,museum,0.6119661153129222
USER_000017,0.26576237332913755,0.8446053483816609,0.8136811767764154,0.2629877834588895,0.7634240826937263,0.1985891918040869,historic_fort,0.39547791242847613
USER_000018,0.5154030943591819,0.15038176281644125,0.33087574574116935,0.38251322511674957,0.545478059301097,0.1486013216725302,heritage_village,0.4320387311056506
USER_000019,0.38153366831030366,0.5613565269070655,0.45663969788772474,0.3450993979991686,0.027536446402124087,0.09771404572830812,historic_site,0.5172684444192494
USER_000020,0.4381079245774021,0.8165701534184686,0.7621056051876104,0.23555898740659137,0.5409356724190165,0.09525105740117239,landmark,0.6279348967732361
USER_000021,0.4183952466696299,0.4878234006462775,0.9816314845210958,0.8267548434060076,0.6339521087761546,0.07935735335532838,historic_site,0.562603091281923
USER_000022,0.6930503377574219,0.891729804947734,0.9827910287926906,0.43781522532898826,0.08059418566592032,0.10264598624344273,museum,0.6880843106781048
USER_000023,0.26002611341832005,0.42689709409350124,0.7609959613754596,0.8736523821285291,0.6163644090429307,0.26434895248518103,shopping_mall,0.4443592500821375
USER_000024,0.5763284013658531,0.6709950715619886,0.5723893318670706,0.415082310118757,0.43750494784615485,0.13163548242644957,natural_wonder,0.528179787605577
USER_000025,0.3917953008916769,0.875131703706061,0.40705251075495363,0.7342855685395662,0.8759866445753572,0.04983176594478413,historic_site,0.47957394799372166
USER_000026,0.42893773821903497,0.2401809285593869,0.569957103974038,0.7735228678775181,0.2263533110755345,0.5143273236361269,historic_site,0.44316035847470703
USER_000027,0.5967851585411745,0.46277106473560414,0.4314426781317035,0.834413346438685,0.5059262245599887,0.19554901390382154,shopping_mall,0.6227635400184962
USER_000028,0.35539474515981556,0.8550426024774356,0.9511758030238863,0.6272967308281057,0.3104310876256318,0.04698044783942154,beach,0.6230265053593793
USER_000029,0.41707042542585054,0.6710691137401231,0.47129121304716076,0.4531999675335296,0.7776316748564536,0.11106688764920832,historic_fort,0.41238558602618075
USER_000030,0.5063343496295459,0.5903125040701521,0.5349131419851498,0.6388486054538705,0.37659719256625024,0.1684001671802539,landmark,0.5404236409729402
USER_000031,0.26510846152403633,0.7192191056444507,0.9284482083907353,0.6647025166020377,0.791028192814745,0.49377742156057747,historic_village,0.48169075566421865
USER_000032,0.3952464769915693,0.5808211822877384,0.22977872549099304,0.4013605946476293,0.13534532963628712,0.06302569379491943,cultural_center,0.40604781529247236
USER_000033,0.5625140647497485,0.6245638238062725,0.7917054342777101,0.5213757555651894,0.45834341983201565,0.3066276204118955,beach,0.6199906843696741
USER_000034,0.11593449875168234,0.5809240341893123,0.52232491243906,0.35332866910329186,0.5176871073031762,0.4053669968016185,beach,0.3365610937016582
USER_000035,0.19302400828250682,0.39560073681983415,0.7301586942687179,0.8200231544233253,0.608837430117869,0.09560849681787488,heritage_village,0.3249877461774979
USER_000036,0.4066672141999295,0.5304764340156751,0.9138561646322494,0.14074327798626857,0.7719141605270773,0.12617478206970653,beach,0.339064020074466
USER_000037,0.5605532279283414,0.9001094524762132,0.4590614201964963,0.5559997297328111,0.49359213728707246,0.06732903710875542,waterfront,0.7062811409013203
USER_000038,0.9068147633523634,0.33213580817917415,0.47147574899276773,0.32078623187682354,0.10647648893063393,0.13348502163992626,cultural_district,0.6043700695255102
USER_000039,0.39845175637842106,0.7936955649899637,0.2872334931132416,0.6018629790217809,0.2680683333165247,0.15119869054754898,historic_site,0.6348412616734549
USER_000040,0.1698036608879889,0.5385557664878824,0.8230632282214456,0.4606865843322287,0.16160381080903277,0.24760631789668108,cultural_center,0.5021917362766993
USER_000041,0.1390899432166346,0.6925303581871591,0.45320245221560346,0.43771852199688527,0.8535914369364315,0.33082452628524783,nature_park,0.41747625560226764
USER_000042,0.39714612700773827,0.7298301454759805,0.9479132015457219,0.45673434347538805,0.4953562899941096,0.08659493801227082,historic_village,0.5175060897141984
USER_000043,0.8480405433381658,0.6454142499552971,0.5307124813863048,0.4686500923298156,0.33621280072089915,0.023650082235409403,beach,0.5711599941901891
